Security,Sector,Sub-Sector,City/State,Year,Submission,Score
Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2023,Submitted,B
Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",2023,Submitted,A-
Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",2023,Submitted,D
Prologis,Real Estate,Industrial REITs,"San Francisco, California",2023,See Another,A-
Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",2023,Submitted,C
Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",2023,No Response,F
PTC,Information Technology,Application Software,"Boston, Massachusetts",2023,Submitted,B-
Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",2023,Submitted,C
PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",2023,Submitted,C
Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",2023,Submitted,C
Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",2023,Submitted,C
Qualcomm,Information Technology,Semiconductors,"San Diego, California",2023,Submitted,B
Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",2023,Submitted,C
Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2023,Submitted,B
Raymond James Financial,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2023,Submitted,C-
Realty Income,Real Estate,Retail REITs,"San Diego, California",2023,No Response,F
Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",2023,Submitted,C
Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",2023,Submitted,B
Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",2023,Submitted,B-
Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2023,Submitted,A-
ResMed,Health Care,Health Care Equipment,"San Diego, California",2023,Submitted,C
Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts",2023,Submitted,Not Available
Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",2023,Submitted,C
Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",2023,Submitted,C
Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",2023,Submitted,B
S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",2023,Submitted,B
Salesforce,Information Technology,Application Software,"San Francisco, California",2023,Submitted,A
SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",2023,Submitted,C
Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2023,Submitted,B
Sempra,Utilities,Multi-Utilities,"San Diego, California",2023,Submitted,Not Scored
ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2023,Submitted,B
Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",2023,Submitted,C
Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",2023,Submitted,A-
Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2023,Submitted,D
J.M. Smucker Company,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2023,Submitted,B-
Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",2023,Submitted,C
Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",2023,See Another,Not Scored
Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",2023,Submitted,B
Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",2023,Submitted,A-
Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",2023,Submitted,B
State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",2023,Submitted,B
Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",2023,Submitted,B-
Steris,Health Care,Health Care Equipment,"Dublin, Ireland",2023,Submitted,B
Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2023,Submitted,B
Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2023,No Response,F
Synopsys,Information Technology,Application Software,"Sunnyvale, California",2023,Submitted,A-
Sysco,Consumer Staples,Food Distributors,"Houston, Texas",2023,Submitted,B
T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2023,See Another,A-
T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",2023,No Response,F
Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",2023,Submitted,C
Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2023,No Response,F
Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",2023,Submitted,A-
Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",2023,No Response,F
Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2023,No Response,F
Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",2023,Submitted,C
"Tesla,",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",2023,No Response,F
Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2023,Submitted,C
Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",2023,Submitted,B
Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2023,See Another,A-
TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",2023,Submitted,B
