Security,Sector,Sub-Sector,City/State,Year,Submission,Score
Cooper Companies,Health Care,Health Care Supplies,"San Ramon, California",2023,Submitted,C
Copart,Industrials,Diversified Support Services,"Dallas, Texas",2023,No Response,F
Corning,Information Technology,Electronic Components,"Corning, New York",2023,Submitted,B
Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2023,Submitted,C
CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",2023,Submitted,Not Available
Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",2023,Submitted,C
Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2023,No Response,F
CrowdStrike,Information Technology,Systems Software,"Austin, Texas",2023,No Response,F
Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",2023,Submitted,D
CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida",2023,Submitted,B
Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",2023,Submitted,B
CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",2023,Submitted,A-
Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",2023,See Another,B-
Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",2023,No Response,F
DaVita,Health Care,Health Care Services,"Denver, Colorado",2023,Submitted,A-
Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",2023,Submitted,C
Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2023,Submitted,A-
Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",2023,Submitted,B
Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2023,Submitted,B
Dexcom,Health Care,Health Care Equipment,"San Diego, California",2023,Submitted,D
Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2023,Submitted,C
Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",2023,Submitted,B
Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",2023,Submitted,Not Scored
Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",2023,No Response,F
Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",2023,Submitted,C
Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",2023,Submitted,A-
Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2023,No Response,F
Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",2023,Submitted,C
Dow,Materials,Commodity Chemicals,"Midland, Michigan",2023,No Response,F
DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",2023,Submitted,Not Scored
Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",2023,Submitted,Not Scored
DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2023,Submitted,A-
Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee",2023,Submitted,B
Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",2023,Submitted,A-
eBay,Consumer Discretionary,Broadline Retail,"San Jose, California",2023,Submitted,A-
Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",2023,Submitted,A
Edison International,Utilities,Electric Utilities,"Rosemead, California",2023,No Response,F
Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2023,Submitted,B
Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",2023,Submitted,Not Scored
Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",2023,Submitted,B
Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",2023,Submitted,A-
Enphase Energy,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2023,Submitted,Not Scored
Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",2023,Submitted,B
EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2023,Submitted,Not Scored
EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2023,Submitted,B
Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",2023,Submitted,Not Scored
Equinix,Real Estate,Data Center REITs,"Redwood City, California",2023,Submitted,A
Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",2023,Submitted,A-
Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2023,No Response,F
Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",2023,Submitted,B
Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",2023,Submitted,Not Scored
Eversource Energy,Utilities,Electric Utilities,"Hartford, Connecticut",2023,Submitted,B
Exelon,Utilities,Electric Utilities,"Chicago, Illinois",2023,Submitted,B
Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",2023,Submitted,D
Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",2023,Submitted,C
Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",2023,Submitted,C
ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",2023,No Response,F
"F5,",Information Technology,Communications Equipment,"Seattle, Washington",2023,Submitted,B
FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",2023,Submitted,C
Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",2023,Submitted,D
Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",2023,Submitted,C
Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2023,Submitted,B
FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",2023,Submitted,C
Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2023,Submitted,C
Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",2023,Submitted,Not Scored
First Solar,Information Technology,Semiconductors,"Tempe, Arizona",2023,Submitted,A-
FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",2023,Submitted,Not Scored
Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",2023,See Another,C
FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",2023,Submitted,A-
Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",2023,Submitted,A
Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2023,Submitted,B-
Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",2023,Submitted,B
Fox Corporation,Communication Services,Broadcasting,"New York City, New York",2023,Submitted,B
Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",2023,Submitted,B
Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",2023,Submitted,B
Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2023,Submitted,C
GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio",2023,Submitted,C
GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",2023,No Response,F
Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",2023,Submitted,D
General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",2023,Submitted,B
General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",2023,Submitted,A-
General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2023,Submitted,A-
Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia",2023,No Response,F
Gilead Sciences,Health Care,Biotechnology,"Foster City, California",2023,Submitted,A-
Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2023,Submitted,C
Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",2023,No Response,F
GoDaddy,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona",2023,No Response,F
Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",2023,Submitted,Not Scored
Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2023,Submitted,C
Hartford,Financials,Property & Casualty Insurance,"Hartford, Connecticut",2023,Submitted,C
Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",2023,Submitted,B
Healthpeak Properties,Real Estate,Health Care REITs,"Denver, Colorado",2023,Submitted,A-
Henry Schein,Health Care,Health Care Distributors,"Melville, New York",2023,Submitted,C
Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",2023,Submitted,B
Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",2023,Submitted,A-
Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2023,Submitted,A-
Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2023,Submitted,Not Scored
Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2023,Submitted,C
Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",2023,Submitted,A-
Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",2023,Submitted,B
Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2023,Submitted,B
Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2023,Submitted,A-
Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",2023,Submitted,B
HP,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",2023,Submitted,C
Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",2023,Submitted,C
Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2023,Submitted,B-
Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",2023,Submitted,B
Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",2023,Submitted,D
IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",2023,Submitted,B
IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2023,No Response,F
Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",2023,No Response,F
Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",2023,Submitted,B-
Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2023,Submitted,Not Scored
Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",2023,Submitted,A
Intel,Information Technology,Semiconductors,"Santa Clara, California",2023,No Response,F
Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2023,Submitted,Not Scored
International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",2023,Submitted,A-
International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",2023,Submitted,B
Interpublic Group of Companies,Communication Services,Advertising,"New York City, New York",2023,Submitted,B
Intuit,Information Technology,Application Software,"Mountain View, California",2023,Submitted,B
Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",2023,Submitted,C
Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2023,Submitted,B
Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",2023,No Response,F
IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2023,Submitted,B
Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts",2023,Submitted,B
J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",2023,Submitted,B
Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",2023,Submitted,C
Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",2023,No Response,F
Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",2023,Submitted,A-
Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",2023,See Another,A-
Johnson Controls,Industrials,Building Products,"Cork, Ireland",2023,Submitted,A
JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",2023,Submitted,Not Scored
Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",2023,Submitted,A-
Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2023,Submitted,B
Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",2023,Submitted,A-
KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",2023,Submitted,Not Scored
Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2023,Submitted,B
Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",2023,Submitted,B
Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",2023,No Response,F
Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2023,Submitted,D
KKR,Financials,Asset Management & Custody Banks,"New York City, New York",2023,No Response,F
KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",2023,Submitted,B
Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2023,Submitted,B
Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",2023,Submitted,B-
L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",2023,Submitted,B
LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",2023,Submitted,B
Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2023,Submitted,B
Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2023,Submitted,C
Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2023,Submitted,A-
Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2023,Submitted,B-
Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",2023,No Response,F
Lilly,Health Care,Pharmaceuticals,"Indianapolis, Indiana",2023,Submitted,A-
Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",2023,Submitted,A-
Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",2023,Submitted,Not Available
Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",2023,Submitted,B
Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",2023,No Response,F
Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2023,Submitted,B
LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2023,Submitted,A-
M&T Bank,Financials,Regional Banks,"Buffalo, New York",2023,Submitted,Not Scored
