Security,Sector,State,City,Response,Year,Submission,Score,Score Numeric
Onto Innovation,Information Technology,Semiconductor Materials & Equipment,"Wilmington, Massachusetts",Climate Change 2023,2023,Submitted,B-,80
Option Care Health,Health Care,Health Care Facilities,,Climate Change 2023,2023,Submitted,Not Scored,
Ormat Technologies,Utilities,Renewable Electricity,"Reno, Nevada",Climate Change 2023,2023,Submitted,B,85
Old Republic International,Financials,Property & Casualty Insurance,"Chicago, Illinois",Climate Change 2023,2023,No Response,F,0
Oshkosh,Industrials,Construction Machinery & Heavy Transportation Equipment,"Oshkosh, Wisconsin",Climate Change 2023,2023,Submitted,C,75
Bank OZK,Financials,Regional Banks,"Little Rock, Arkansas",Climate Change 2023,2023,No Response,F,0
Penske Automotive Group,Consumer Discretionary,Automotive Retail,"Bloomfield Hills, Michigan",Climate Change 2023,2023,No Response,F,0
Prosperity Bancshares,Financials,Regional Banks,"Houston, Texas",Climate Change 2023,2023,No Response,F,0
PBF Energy,Energy,Oil & Gas Refining & Marketing,"Parsippany, New Jersey",Climate Change 2023,2023,No Response,F,0
PotlatchDeltic,Real Estate,Timber REITs,"Spokane, Washington",Climate Change 2023,2023,See Another,C,75
Paylocity,Industrials,Human Resource & Employment Services,"Schaumburg, Illinois",Climate Change 2023,2023,No Response,F,0
Penumbra,Health Care,Health Care Equipment,,Climate Change 2023,2023,No Response,F,0
Performance Food Group,Consumer Staples,Food Distributors,"Richmond, Virginia",Climate Change 2023,2023,No Response,F,0
Polaris,Consumer Discretionary,Leisure Products,"Medina, Minnesota",Climate Change 2023,2023,No Response,F,0
Park Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Tysons, Virginia",Climate Change 2023,2023,No Response,F,0
Planet Fitness,Consumer Discretionary,Leisure Facilities,"Hampton, New Hampshire",Climate Change 2023,2023,No Response,F,0
Pinnacle Financial Partners,Financials,Regional Banks,"Nashville, Tennessee",Climate Change 2023,2023,No Response,F,0
PNM Resources,Utilities,Electric Utilities,"Albuquerque, New Mexico",Climate Change 2023,2023,No Response,F,0
Portland General Electric,Utilities,Electric Utilities,"Portland, Oregon",Climate Change 2023,2023,No Response,F,0
Post Holdings,Consumer Staples,Packaged Foods & Meats,"St Louis, Missouri",Climate Change 2023,2023,Submitted,B-,80
Power Integrations,Information Technology,Semiconductors,,Climate Change 2023,2023,No Response,F,0
Primerica,Financials,Life & Health Insurance,"Duluth, Georgia",Climate Change 2023,2023,No Response,F,0
Parsons Corporation,Industrials,Aerospace & Defense,"Chantilly, Virginia",Climate Change 2023,2023,Submitted,Not Available,
Pure Storage,Information Technology,"Technology Hardware, Storage & Peripherals","Santa Clara, California",Climate Change 2023,2023,Submitted,B-,80
PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",Climate Change 2023,2023,Submitted,B,85
Qualys,Information Technology,Systems Software,"Foster City, California",Climate Change 2023,2023,Submitted,Not Scored,
Ryder,Industrials,Cargo Ground Transportation,"Miami, Florida",Climate Change 2023,2023,Submitted,B,85
RBC Bearings,Industrials,Industrial Machinery & Supplies & Components,"Oxford, Connecticut",Climate Change 2023,2023,No Response,F,0
Rexford Industrial Realty,Real Estate,Industrial REITs,,Climate Change 2023,2023,Submitted,C,75
Reinsurance Group of America,Financials,Reinsurance,"Chesterfield, Missouri",Climate Change 2023,2023,Submitted,D-,60
Repligen,Health Care,Biotechnology,"Waltham, Massachusetts",Climate Change 2023,2023,Submitted,C,75
Royal Gold,Materials,Gold,"Denver, Colorado",Climate Change 2023,2023,No Response,F,0
RH,Consumer Discretionary,Homefurnishing Retail,"Corte Madera, California",Climate Change 2023,2023,Submitted,Not Scored,
RLI,Financials,Property & Casualty Insurance,"Peoria, Illinois",Climate Change 2023,2023,Submitted,C,75
Rambus,Information Technology,Semiconductors,"San Jose, California",Climate Change 2023,2023,Submitted,B,85
Roivant Sciences,Health Care,Biotechnology,"London, United Kingdom",Climate Change 2023,2023,No Response,F,0
RPM International,Materials,Specialty Chemicals,"Medina, Ohio",Climate Change 2023,2023,Submitted,C,75
Range Resources,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",Climate Change 2023,2023,Submitted,C,75
Regal Rexnord,Industrials,Electrical Components & Equipment,"Beloit, Wisconsin",Climate Change 2023,2023,See Another,C,75
Reliance Steel & Aluminum Co.,Materials,Steel,"Scottsdale, Arizona",Climate Change 2023,2023,Submitted,C-,70
Ryan Specialty,Financials,Insurance Brokers,"Chicago, Illinois",Climate Change 2023,2023,No Response,F,0
Rayonier,Real Estate,Timber REITs,"Wildlight, Florida",Climate Change 2023,2023,Submitted,Not Available,
Saia,Industrials,Cargo Ground Transportation,"Johns Creek, Georgia",Climate Change 2023,2023,Submitted,D,65
